	id	price	surface	country	index
160	01G6N8WX5HVDCY28SFRES3KWPF	336.0	22.0	Poland	15.272727272727273
161	01G6N8X6S2MZT7H1965Z7HPYX5	1380.0	30.0	Luxembourg	46.0
162	01G6N8X5YG94T0CSGR4QKJMP62	400.0	55.0	Hungary	7.2727272727272725
163	01G6N8X1Q802JANPCF3AJK83RT	654.55	60.0	Finland	10.909166666666666
164	01G6N8WG2GK1XK95WJ1MC7FNA0	830.0	108.0	France	7.685185185185185
166	01G6N8WCEB564J8Y91C9MHEXHG	2100.0	300.0	Italy	7.0
167	01G6N8X3D0YQW23SA4WRABWDY9	1200.0	138.0	Republic	8.695652173913043
168	01G6N8WRS484M82ANXVCM181CM	443.36	57.0	Netherlands	7.778245614035088
169	01G6N8WX4PK14NVJ67X7528SN6	672.0	51.0	Poland	13.176470588235293
170	01G6N8X0FGBH7EMKPTJZM43MPY	1248.0	56.0	Norway	22.285714285714285
171	01G6N8XBGW2EVV4QJK4A6JF4YB	240.0	75.0	Romania	3.2
172	01G6N8X89KG3PPZK990M4X7729	700.0	95.0	Belgium	7.368421052631579
173	01G6N8WSCYA70N44RS1ZYMYPMG	551.01	29.0	Netherlands	19.000344827586208
174	01G6N8WTRDXNM7G87VN66X7004	1092.0	84.0	Denmark	13.0
176	01G6N8WSAZ4HSRSNH47SNBFJ46	505.0	75.0	Netherlands	6.733333333333333
178	01G6N8WFDF1FK3FX8E7M79GWK3	418.0	56.0	France	7.464285714285714
179	01G6N8WHCPNDDGKFA6DKAB820M	704.7	60.0	Austria	11.745000000000001
180	01G6N8XE3KFFWWHYNSJ5ZR5FD4	600.0	60.0	Estonia	10.0
183	01G6N8WAV8QQE7KXCV427SCVJQ	830.0	43.0	Italy	19.302325581395348
184	01G6N8X7MAZTP2TTXE3P7WQCRR	800.0	65.0	Belgium	12.307692307692308
185	01G6N8X1BCEWP4GCPA8NV0A3B7	540.0	54.0	Finland	10.0
186	01G6N8X2EEHA5V5XVC1CT4AEPN	275.0	20.0	Finland	13.75
187	01G6N8WZSV3MG9ZWBVAFKBY8YH	528.12	69.0	Sweden	7.653913043478261
188	01G6N8XCXESBMM3HMG9ZS88Q8H	100.0	55.0	Romania	1.8181818181818181
189	01G6N8WVW4408MEXV1AESMTZXJ	993.85	64.0	Denmark	15.52890625
190	01G6N8WEBZE10X15QPYMNKS9MJ	900.0	92.0	Spain	9.782608695652174
191	01G6N8WEG428AQYW5ZF9GMTCTY	650.0	70.0	Spain	9.285714285714286
192	01G6N8X90DZZ7RRY0ZMK7G7952	525.0	48.0	Belgium	10.9375
193	01G6N8X5EWE9A7SPAD67D70S8A	1225.0	80.0	Hungary	15.3125
195	01G6N8XCRR4TW3A4AEC6ASXEQB	216.672	36.0	Romania	6.018666666666666
197	01G6N8WS6FV2H8A3N0EREWW9YF	2750.0	135.0	Netherlands	20.37037037037037
198	01G6N8WMGZBVZ16S8DCQ9TD2K9	819.81	40.0	Austria	20.49525
199	01G6N8X48FDCGSHZ5A11V818VR	115.55069999999999	65.0	Bulgaria	1.7777030769230768
200	01G6N8WQMWXC07K2JCZ0JJMCV4	2350.0	160.0	Portugal	14.6875
201	01G6N8WHNSHSB9WYYERM0K94YP	877.88	49.0	Austria	17.91591836734694
202	01G6N8WQXZ6KX59GMRSH6RANFX	2195.0	105.0	Netherlands	20.904761904761905
203	01G6N8XD72KC77KM0FC6W2J9SR	20600.0	85.0	Romania	242.35294117647058
207	01G6N8WR2N0YPAKPQ39HHRYNW4	995.0	60.0	Netherlands	16.583333333333332
208	01G6N8X1A4C5E8ES00AP09CXGD	660.0	60.0	Finland	11.0
209	01G6N8XD66KBKA36WD3NM49DRF	662.32	50.0	Romania	13.246400000000001
210	01G6N8WGRBGHJDME5F1A67CRWP	1230.0	16.0	France	76.875
212	01G6N8X89TZMTNTC86TWF0SDE5	840.0	77.0	Belgium	10.909090909090908
213	01G6N8WZAG1VKP5ABME4GT1ENM	566.64	45.0	Sweden	12.592
214	01G6N8X0ZVGNAAFCN1X93TJYAW	1360.0	57.0	Finland	23.859649122807017
217	01G6N8X63ZTAHVE59KQ1A5MM9Y	1497.5	114.0	Hungary	13.135964912280702
218	01G6N8WSDF663FDEB8ACRQ01PG	431.78	13.0	Netherlands	33.21384615384615
220	01G6N8X677RKHK3QRC54VG2Z0Y	625.0	82.0	Hungary	7.621951219512195
221	01G6N8WBEA0FYBVMSRA2RAASCD	1200.0	50.0	Italy	24.0
222	01G6N8WZAM8ZKP1AWQ291V1GXR	424.44	38.0	Sweden	11.169473684210526
223	01G6N8WJYTT86M2AEDYGE1Q8B4	1433.0	107.0	Austria	13.392523364485982
225	01G6N8WM09GWYRW2RG4WS0PAVF	460.0	48.0	Austria	9.583333333333334
226	01G6N8WMN4DW6S7CWBC1ZRV79T	739.92	41.0	Austria	18.046829268292683
